child_id,lga_id,state,geopolitical_zone,gender,age,grade_level,attendance_rate,math_score,literacy_score,household_income_usd_day,parent_edu_level,sibling_count,distance_to_school_km,disability,conflict_displaced,school_fee_burden,has_birth_certificate,meal_programme_access,poverty_rate_lga,conflict_score_lga,teacher_pupil_ratio,dropout
1,103,Benue,NC,M,11,6,0.565,57.4,55.8,0.98,1,8,11.14,0,0,0.517,1,0,0.5497,0.596,0.0198,0
2,436,Niger,NC,F,11,5,0.65,75.7,57.9,1.11,2,6,0.99,0,0,0.448,1,1,0.4491,0.348,0.02802,0
3,271,Kaduna,NW,M,8,3,0.605,49.1,50.1,0.2,1,2,1.02,0,0,0.511,0,0,0.7459,0.7227,0.02992,0
4,107,Benue,NC,M,13,8,0.92,79.9,69.2,2.3,3,3,0.2,0,1,0.194,1,1,0.4645,0.4089,0.02546,0
5,72,Bauchi,NE,F,9,4,0.423,50.6,45.8,1.66,2,1,0.2,0,0,0.686,0,0,0.7882,0.4838,0.01597,1
6,21,Adamawa,NE,M,7,1,0.494,64.2,45.5,0.42,2,3,1.59,0,1,0.814,1,0,0.7543,0.7,0.01919,1
7,615,Yobe,NE,F,10,5,0.037,29.6,10.7,0.1,0,9,3.06,0,1,0.219,0,1,0.7819,0.9472,0.02187,1
8,122,Borno,NE,F,12,6,0.213,42.6,31.9,0.77,2,9,8.8,0,0,0.754,0,0,0.8772,0.9875,0.01308,1
9,467,Ogun,SW,F,9,4,0.729,66.2,71.0,0.94,0,2,8.07,0,0,0.39,1,1,0.2193,0.0732,0.01524,0
10,215,Enugu,SE,F,6,2,0.957,92.9,88.3,1.63,3,5,5.5,1,0,0.225,1,0,0.1941,0.0105,0.01,0
11,331,Kano,NW,F,7,3,0.648,58.6,74.9,2.09,0,2,7.13,0,0,0.279,0,1,0.7005,0.3947,0.02315,0
12,459,Ogun,SW,F,6,1,0.897,61.7,90.7,1.03,2,6,1.51,0,0,0.03,1,0,0.1458,0.0,0.01751,0
13,88,Bayelsa,SS,M,13,8,0.694,81.1,62.9,0.31,1,7,0.2,0,0,0.205,1,0,0.5466,0.4802,0.01042,0
14,373,Kogi,NC,F,7,2,0.612,50.9,52.6,2.65,3,3,2.18,0,1,0.559,1,0,0.3958,0.3429,0.02651,0
15,100,Benue,NC,M,6,2,0.827,42.9,63.6,0.81,1,4,1.58,0,0,0.481,0,1,0.4401,0.5742,0.0273,0
16,131,Borno,NE,F,15,9,0.396,55.8,40.3,0.12,0,10,13.98,0,0,0.609,1,0,0.7751,0.9008,0.01484,1
17,309,Kano,NW,M,11,7,0.65,26.4,52.8,2.05,1,3,2.69,0,0,0.884,1,1,0.8361,0.2991,0.04878,1
18,344,Katsina,NW,M,7,3,0.354,59.9,29.6,0.14,2,5,1.25,0,0,0.67,0,1,0.8235,0.4946,0.02158,0
19,492,Osun,SW,M,14,9,0.859,100.0,86.9,0.84,2,7,9.27,0,0,0.065,1,0,0.2676,0.1285,0.02319,0
20,414,Lagos,SW,M,7,3,0.889,78.7,65.8,4.95,0,2,5.38,0,0,0.347,1,1,0.1948,0.267,0.02281,0
21,386,Kwara,NC,M,6,1,0.395,49.6,57.0,1.52,1,3,12.6,0,0,0.323,1,1,0.5313,0.4232,0.0164,0
22,192,Edo,SS,M,7,1,0.586,57.4,67.7,1.0,3,7,1.79,0,0,0.298,1,0,0.4563,0.3682,0.02168,0
23,277,Kaduna,NW,M,13,8,0.475,59.7,38.1,1.13,1,6,3.65,1,0,0.707,1,0,0.8086,0.5722,0.01877,1
24,161,Delta,SS,M,9,5,0.696,59.6,56.1,1.25,1,3,4.46,0,0,0.0,1,1,0.264,0.3224,0.01325,0
25,460,Ogun,SW,M,9,5,0.892,79.2,74.0,3.97,0,4,5.56,0,0,0.39,1,0,0.2791,0.1287,0.01602,0
26,314,Kano,NW,F,14,9,0.202,60.4,36.4,0.5,1,11,1.51,0,0,0.716,1,1,0.98,0.539,0.0274,1
27,22,Adamawa,NE,M,12,8,0.419,32.4,48.6,0.83,1,7,4.44,0,1,0.489,0,0,0.7884,0.5255,0.01075,1
28,253,Imo,SE,F,15,9,0.798,70.4,55.3,0.56,3,5,7.85,0,0,0.118,1,1,0.2265,0.1927,0.01583,0
29,561,Rivers,SS,M,6,1,0.548,62.2,52.4,0.1,1,4,3.58,0,0,0.473,0,0,0.3627,0.396,0.01856,0
30,475,Ondo,SW,F,14,9,0.965,60.9,100.0,1.41,3,7,1.72,0,0,0.196,1,0,0.2587,0.2147,0.03539,0
31,59,Anambra,SE,M,10,6,0.829,69.2,55.7,0.93,2,7,0.7,0,0,0.004,1,0,0.3118,0.206,0.01934,0
32,511,Oyo,SW,M,14,9,0.827,53.9,68.9,0.19,3,6,1.23,0,0,0.128,1,1,0.2594,0.094,0.01751,0
33,476,Ondo,SW,F,6,1,0.733,54.2,64.7,0.22,3,1,2.98,0,0,0.139,1,0,0.25,0.312,0.01449,0
34,190,Edo,SS,M,11,5,0.854,67.9,62.2,0.16,3,4,2.44,0,0,0.159,1,0,0.2804,0.1135,0.02526,0
35,563,Rivers,SS,M,15,9,0.947,68.6,89.9,0.15,2,6,8.12,0,0,0.277,1,0,0.272,0.2604,0.01,0
36,567,Rivers,SS,M,14,8,0.849,70.1,65.5,0.85,3,1,3.46,0,0,0.133,0,0,0.3464,0.1699,0.0167,0
37,244,Imo,SE,F,9,5,0.561,50.9,34.5,0.68,2,3,2.57,0,0,0.017,1,1,0.3064,0.3612,0.01,0
38,505,Osun,SW,F,7,1,0.828,78.7,54.0,0.96,2,6,9.5,0,0,0.085,1,0,0.2707,0.0612,0.01705,0
39,131,Borno,NE,M,10,6,0.305,23.0,55.0,1.59,0,6,12.77,0,0,0.577,1,0,0.7751,0.9008,0.01484,1
40,485,Ondo,SW,F,13,9,0.971,76.0,59.0,1.46,3,3,0.2,0,0,0.303,1,1,0.1664,0.0,0.01,0
41,21,Adamawa,NE,M,10,6,0.446,53.1,35.6,3.57,0,3,1.23,0,1,0.329,1,1,0.7543,0.7,0.01919,1
42,167,Delta,SS,F,15,9,0.919,75.0,84.3,0.93,1,2,1.61,0,0,0.039,1,1,0.247,0.4583,0.01967,0
43,274,Kaduna,NW,F,15,9,0.339,45.9,48.8,1.18,2,5,0.2,0,0,0.382,0,1,0.732,0.4266,0.02439,1
44,388,Kwara,NC,M,15,9,0.665,59.9,51.5,0.56,0,5,0.2,0,0,0.35,0,0,0.525,0.2071,0.01817,0
45,601,Taraba,NE,F,6,1,0.48,48.8,33.8,3.32,0,3,2.4,0,1,0.718,0,0,0.7247,0.6116,0.03268,1
46,316,Kano,NW,F,8,2,0.162,38.8,13.4,0.1,1,3,0.69,0,0,0.79,0,1,0.8924,0.5162,0.03173,1
47,14,Adamawa,NE,F,12,7,0.287,45.1,48.3,3.69,1,3,5.87,0,0,0.777,1,1,0.7628,0.6881,0.02183,1
48,242,Gombe,NE,M,15,9,0.522,34.7,54.9,1.46,0,3,1.39,0,0,0.775,1,1,0.7937,0.6097,0.0104,0
49,346,Katsina,NW,M,11,6,0.497,43.6,36.5,0.12,0,6,5.3,0,0,0.728,0,0,0.7641,0.3967,0.01253,1
50,565,Rivers,SS,M,11,7,0.49,43.8,59.6,2.94,2,8,2.73,0,0,0.219,1,1,0.3713,0.4266,0.02534,0
51,340,Katsina,NW,M,14,9,0.655,57.3,57.5,0.23,0,5,0.59,0,0,0.297,1,1,0.7545,0.5995,0.02299,0
52,92,Bayelsa,SS,F,13,7,0.619,74.0,63.7,1.0,1,5,6.6,0,0,0.172,1,0,0.3464,0.4291,0.02607,0
53,367,Kebbi,NW,M,11,7,0.473,23.8,58.2,0.73,1,3,2.31,0,0,1.0,0,0,0.86,0.3357,0.02085,1
54,455,Ogun,SW,F,14,9,0.945,90.2,60.0,0.44,1,1,6.71,0,0,0.126,1,0,0.1585,0.1464,0.01298,0
55,428,Niger,NC,F,11,7,0.859,95.8,75.9,0.86,2,5,2.58,0,0,0.156,0,0,0.4231,0.1142,0.01,0
56,509,Osun,SW,F,8,2,0.7,40.0,59.5,0.27,1,3,2.41,0,0,0.211,1,1,0.2198,0.1044,0.02112,0
57,35,Akwa Ibom,SS,F,7,1,0.736,71.1,48.0,2.41,3,2,2.71,0,0,0.07,1,1,0.3628,0.3076,0.01978,0
58,206,Ekiti,SW,M,13,8,0.945,82.0,81.7,0.1,0,1,1.68,0,0,0.058,1,1,0.2313,0.0606,0.02899,0
59,81,Bayelsa,SS,F,10,4,0.882,67.5,68.7,3.09,1,6,1.58,0,0,0.349,1,0,0.3317,0.1407,0.03099,0
60,562,Rivers,SS,F,11,7,0.764,71.8,60.3,1.14,2,3,13.27,0,0,0.0,1,1,0.3132,0.3421,0.01736,0
61,388,Kwara,NC,F,14,9,0.725,57.7,72.3,1.64,1,3,0.2,0,0,0.729,1,0,0.525,0.2071,0.01817,0
62,2,Abia,SE,M,6,1,0.903,66.7,73.1,2.55,1,6,1.82,0,0,0.165,0,1,0.3095,0.0041,0.01846,0
63,390,Kwara,NC,F,8,4,0.604,61.6,60.9,4.83,1,6,3.88,0,0,0.729,1,0,0.5583,0.2392,0.02041,0
64,566,Rivers,SS,F,10,6,0.664,62.0,58.5,0.47,3,6,3.13,0,0,0.151,0,0,0.4368,0.394,0.02931,0
65,106,Benue,NC,M,11,5,0.68,90.3,50.5,1.68,0,8,2.82,0,0,0.32,1,0,0.4165,0.723,0.0314,0
66,477,Ondo,SW,M,6,1,0.683,75.7,48.4,0.1,0,5,10.33,0,0,0.301,1,0,0.241,0.3074,0.01553,0
67,402,Lagos,SW,M,14,9,0.922,57.6,69.8,0.25,0,2,8.76,0,0,0.3,1,1,0.2303,0.2528,0.0178,0
68,556,Plateau,NC,M,10,6,0.609,53.6,61.0,1.02,3,5,0.2,0,1,0.191,1,1,0.5371,0.5211,0.02006,0
