lga_id,lga_name,state,geopolitical_zone,latitude,longitude,population_0_14,children_6_14,oos_count,oos_rate,poverty_rate,conflict_score,gender_gap,distance_to_school_km,teacher_pupil_ratio,disability_rate,school_density_per_1000,literacy_rate,water_sanitation_access,dominant_driver,risk_tier
1,Abia_LGA_01,Abia,SE,5.3522,8.0938,195297,96980,31433,0.3241,0.3552,0.0,0.0149,6.34,0.01736,0.0498,0.544,0.8464,0.6192,poverty,Medium
2,Abia_LGA_02,Abia,SE,5.3595,7.0836,191895,90192,20578,0.2282,0.3095,0.0041,0.1239,1.86,0.01846,0.0432,1.167,0.7636,0.6,poverty,Medium
3,Abia_LGA_03,Abia,SE,4.8969,7.8129,55102,27577,8300,0.301,0.4513,0.0594,0.0544,1.07,0.02513,0.0613,0.766,0.7088,0.4526,poverty,Medium
4,Abia_LGA_04,Abia,SE,5.9823,7.8404,200835,100362,21088,0.2101,0.3235,0.0334,0.0916,5.05,0.02182,0.0587,0.867,0.8303,0.6123,poverty,Medium
5,Abia_LGA_05,Abia,SE,5.8992,7.4543,198435,96018,26897,0.2801,0.2289,0.0725,0.1547,4.87,0.02807,0.0332,0.7,0.789,0.7233,school_supply,Medium
6,Abia_LGA_06,Abia,SE,4.6993,7.4187,130213,65060,14649,0.2252,0.3486,0.0809,0.0162,1.49,0.01234,0.055,0.843,0.8312,0.5649,poverty,Medium
7,Abia_LGA_07,Abia,SE,5.9524,6.9872,197703,90380,16948,0.1875,0.251,0.0618,0.0202,2.02,0.01609,0.0501,0.944,0.8117,0.7074,poverty,Low
8,Abia_LGA_08,Abia,SE,5.6585,7.2989,198939,87699,12684,0.1446,0.1642,0.0,0.0301,4.54,0.01245,0.0462,1.19,0.7475,0.7891,school_supply,Low
9,Abia_LGA_09,Abia,SE,6.0942,7.4492,116745,56926,11274,0.1981,0.1418,0.1434,0.0919,1.86,0.01,0.0507,0.641,0.7946,0.7735,school_supply,Low
10,Abia_LGA_10,Abia,SE,4.7851,7.3853,116183,56771,14639,0.2579,0.2976,0.2359,0.1218,1.32,0.03219,0.0381,0.608,0.7019,0.6127,poverty,Medium
11,Adamawa_LGA_01,Adamawa,NE,10.0637,12.3717,139891,65166,39309,0.6032,0.7751,0.7838,0.4798,1.29,0.02345,0.0801,0.16,0.4214,0.1618,poverty,Critical
12,Adamawa_LGA_02,Adamawa,NE,9.8521,13.0339,134002,58228,34790,0.5975,0.7373,0.5964,0.2963,12.53,0.01955,0.1077,0.839,0.4786,0.2115,poverty,High
